nivå,regionnummer,regionnavn,fylkesnummer,fylkesnavn,gyldig_fra,gyldig_til,er_gjeldende
kommune,0834,Vinje,08,Telemark,1964-01-01,2020-01-01,false
kommune,0835,Rauland,08,Bratsbergs amt,1860-01-01,1964-01-01,false
kommune,0901,Risør,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0902,Tvedestrand,09,Nedenes amt,1838-01-01,1960-01-01,false
kommune,0903,Arendal,09,Nedenes amt,1838-01-01,1992-01-01,false
kommune,0904,Grimstad,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0905,Lillesand,09,Nedenes amt,1838-01-01,1962-01-01,false
kommune,0906,Arendal,09,Aust-Agder,1992-01-01,2020-01-01,false
kommune,0911,Gjerstad,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0912,Vegårshei,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0913,Søndeled,09,Nedenes amt,1838-01-01,1964-01-01,false
kommune,0914,Holt,09,Nedenes amt,1838-01-01,1960-01-01,false
kommune,0914,Tvedestrand,09,Aust-Agder,1960-01-01,2020-01-01,false
kommune,0915,Dypvåg,09,Nedenes amt,1838-01-01,1960-01-01,false
kommune,0916,Flosta,09,Nedenes amt,1902-01-01,1962-01-01,false
kommune,0917,Stokken,09,Aust-Agder,1920-01-01,1962-01-01,false
kommune,0918,Austre Moland,09,Nedenes amt,1838-01-01,1962-01-01,false
kommune,0918,Moland,09,Aust-Agder,1962-01-01,1992-01-01,false
kommune,0919,Froland,09,Nedenes amt,1850-01-01,2020-01-01,false
kommune,0920,Øyestad,09,Nedenes amt,1838-01-01,1992-01-01,false
kommune,0921,Tromøy,09,Nedenes amt,1879-01-01,1992-01-01,false
kommune,0922,His,09,Nedenes amt,1881-01-01,1931-01-01,false
kommune,0922,Hisøy,09,Aust-Agder,1931-01-01,1992-01-01,false
kommune,0923,Fjære,09,Nedenes amt,1846-01-01,1971-01-01,false
kommune,0924,Landvik,09,Nedenes amt,1838-01-01,1971-01-01,false
kommune,0925,Eide (Aust-Agder),09,Nedenes amt,1838-01-01,1962-01-01,false
kommune,0926,Vestre Moland,09,Nedenes amt,1838-01-01,1962-01-01,false
kommune,0926,Lillesand,09,Aust-Agder,1962-01-01,2020-01-01,false
kommune,0927,Høvåg,09,Nedenes amt,1865-01-01,1962-01-01,false
kommune,0928,Birkenes,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0929,Åmli,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0930,Gjevedal,09,Nedenes amt,1908-01-01,1915-01-01,false
kommune,0930,Gjøvdal,09,Nedenes amt,1915-01-01,1960-01-01,false
kommune,0931,Lille Topdal,09,Nedenes amt,1908-01-01,1922-01-01,false
kommune,0931,Tovdal,09,Aust-Agder,1922-01-01,1967-01-01,false
kommune,0932,Mykland,09,Nedenes amt,1876-01-01,1967-01-01,false
kommune,0933,Herefoss,09,Nedenes amt,1838-01-01,1967-01-01,false
kommune,0934,Evje og Vegusdal,09,Nedenes amt,1838-01-01,1877-01-01,false
kommune,0934,Vegusdal,09,Nedenes amt,1877-01-01,1967-01-01,false
kommune,0935,Hornnes og Iveland,09,Nedenes amt,1838-01-01,1886-01-01,false
kommune,0935,Iveland,09,Nedenes amt,1886-01-01,2020-01-01,false
kommune,0936,Hornnes,09,Nedenes amt,1886-01-01,1960-01-01,false
kommune,0937,Evje,09,Nedenes amt,1877-01-01,1960-01-01,false
kommune,0937,Evje og Hornnes,09,Aust-Agder,1960-01-01,2020-01-01,false
kommune,0938,Bygland,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0939,Hylestad,09,Nedenes amt,1916-01-01,1962-01-01,false
kommune,0940,Valle,09,Nedenes amt,1838-01-01,2020-01-01,false
kommune,0941,Bykle,09,Nedenes amt,1902-01-01,2020-01-01,false
kommune,0980,Åseral,09,Nedenes amt,1838-01-01,1881-01-01,false
kommune,0990,Barbu,09,Nedenes amt,1879-01-01,1902-01-01,false
kommune,1001,Kristiansand,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1002,Mandal,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1003,Farsund,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1004,Flekkefjord,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1011,Randesund,10,Lister og Mandals amt,1894-01-01,1965-01-01,false
kommune,1012,Oddernes,10,Lister og Mandals amt,1838-01-01,1965-01-01,false
kommune,1013,Tveit,10,Lister og Mandals amt,1838-01-01,1965-01-01,false
kommune,1014,Vennesla,10,Lister og Mandals amt,1865-01-01,2020-01-01,false
kommune,1015,Hægeland,10,Lister og Mandals amt,1897-01-01,1964-01-01,false
kommune,1016,Øvrebø,10,Lister og Mandals amt,1838-01-01,1865-01-01,false
kommune,1016,Øvrebø og Hægeland,10,Lister og Mandals amt,1865-01-01,1897-01-01,false
kommune,1016,Øvrebø,10,Lister og Mandals amt,1897-01-01,1964-01-01,false
kommune,1017,Greipstad,10,Lister og Mandals amt,1914-01-01,1964-01-01,false
kommune,1017,Songdalen,10,Vest-Agder,1964-01-01,2020-01-01,false
kommune,1018,Søgne,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1019,Mandals landsdistrikt,10,Lister og Mandals amt,1838-01-01,1865-01-01,false
kommune,1019,Halse og Harkmark,10,Lister og Mandals amt,1865-01-01,1964-01-01,false
kommune,1020,Holum,10,Lister og Mandals amt,1838-01-01,1964-01-01,false
kommune,1021,Øyslebø og Laudal,10,Lister og Mandals amt,1838-01-01,1899-01-01,false
kommune,1021,Øyslebø,10,Lister og Mandals amt,1899-01-01,1964-01-01,false
kommune,1021,Marnardal,10,Vest-Agder,1964-01-01,2020-01-01,false
kommune,1022,Laudal,10,Lister og Mandals amt,1899-01-01,1964-01-01,false
kommune,1023,Finsland,10,Lister og Mandals amt,1838-01-01,1964-01-01,false
kommune,1024,Bjelland og Grindheim,10,Lister og Mandals amt,1838-01-01,1902-01-01,false
kommune,1024,Bjelland,10,Lister og Mandals amt,1902-01-01,1964-01-01,false
kommune,1025,Grindum,10,Lister og Mandals amt,1902-01-01,1918-01-01,false
kommune,1025,Grindheim,10,Lister og Mandals amt,1918-01-01,1964-01-01,false
kommune,1026,Åseral,10,Lister og Mandals amt,1881-01-01,2020-01-01,false
kommune,1027,Undal,10,Lister og Mandals amt,1838-01-01,1845-01-01,false
kommune,1027,Nord-Undal,10,Lister og Mandals amt,1845-01-01,1911-01-01,false
kommune,1027,Konsmo,10,Lister og Mandals amt,1911-01-01,1964-01-01,false
kommune,1027,Audnedal,10,Vest-Agder,1964-01-01,2020-01-01,false
kommune,1028,Vigmostad,10,Lister og Mandals amt,1911-01-01,1964-01-01,false
kommune,1029,Sør-Undal,10,Lister og Mandals amt,1845-01-01,1899-01-01,false
kommune,1029,Sør-Audnedal,10,Lister og Mandals amt,1899-01-01,1964-01-01,false
kommune,1029,Lindesnes,10,Vest-Agder,1964-01-01,2020-01-01,false
kommune,1030,Spangereid,10,Lister og Mandals amt,1899-01-01,1964-01-01,false
kommune,1031,Austad,10,Lister og Mandals amt,1909-01-01,1963-01-01,false
kommune,1032,Lyngdal,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1033,Kvås,10,Lister og Mandals amt,1909-01-01,1963-01-01,false
kommune,1034,Hægebostad,10,Lister og Mandals amt,1838-01-01,2020-01-01,false
kommune,1035,Eiken,10,Lister og Mandals amt,1916-01-01,1963-01-01,false
kommune,1036,Fjotland,10,Lister og Mandals amt,1838-01-01,1841-01-01,false
kommune,1036,Fjotland,10,Lister og Mandals amt,1858-01-01,1963-01-01,false
kommune,1037,Kvinesdal,10,Lister og Mandals amt,1838-01-01,1900-01-01,false
kommune,1037,Liknes,10,Lister og Mandals amt,1900-01-01,1918-01-01,false
kommune,1037,Kvinesdal,10,Lister og Mandals amt,1918-01-01,2020-01-01,false
kommune,1038,Feda,10,Lister og Mandals amt,1900-01-01,1963-01-01,false
kommune,1039,Herad,10,Lister og Mandals amt,1838-01-01,1965-01-01,false
kommune,1040,Spind,10,Lister og Mandals amt,1894-01-01,1965-01-01,false
kommune,1041,Vanse,10,Lister og Mandals amt,1838-01-01,1911-01-01,false
kommune,1041,Lista,10,Lister og Mandals amt,1911-01-01,1965-01-01,false
kommune,1042,Nes og Hitterø,10,Lister og Mandals amt,1838-01-01,1894-01-01,false
kommune,1042,Hitterø,10,Lister og Mandals amt,1894-01-01,1920-01-01,false
kommune,1042,Hidra,10,Vest-Agder,1920-01-01,1965-01-01,false
kommune,1043,Nes (Vest-Agder),10,Lister og Mandals amt,1894-01-01,1965-01-01,false
kommune,1044,Gyland,10,Lister og Mandals amt,1894-01-01,1965-01-01,false
kommune,1045,Bakke,10,Lister og Mandals amt,1838-01-01,1965-01-01,false
kommune,1046,Sirdal,10,Lister og Mandals amt,1849-01-01,1905-01-01,false
kommune,1046,Tonstad,10,Lister og Mandals amt,1905-01-01,1960-01-01,false
kommune,1046,Sirdal,10,Vest-Agder,1960-01-01,2020-01-01,false
kommune,1047,Øvre Sirdal,10,Lister og Mandals amt,1905-01-01,1960-01-01,false
kommune,1101,Egersund,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1101,Eigersund,11,Rogaland,1965-01-01,,true
kommune,1102,Sandnes,11,Rogaland,1862-01-01,2020-01-01,false
kommune,1103,Stavanger,11,Rogaland,1838-01-01,,true
kommune,1104,Skudeneshavn,11,Rogaland,1859-01-01,1965-01-01,false
kommune,1105,Kopervik,11,Rogaland,1867-01-01,1965-01-01,false
kommune,1106,Haugesund,11,Rogaland,1856-01-01,,true
kommune,1107,Sogndal (Rogaland),11,Rogaland,1845-01-01,1945-01-01,false
kommune,1108,Sandnes,11,Rogaland,2020-01-01,,true
kommune,1111,Sokndal,11,Rogaland,1838-01-01,,true
kommune,1112,Lund,11,Rogaland,1838-01-01,,true
kommune,1113,Heskestad,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1114,Bjerkreim,11,Rogaland,1838-01-01,,true
kommune,1115,Helleland,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1116,Eigersund,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1117,Ogna,11,Rogaland,1839-01-01,1964-01-01,false
kommune,1118,Varhaug,11,Rogaland,1894-01-01,1964-01-01,false
kommune,1119,Hå,11,Stavanger amt,1838-01-01,1894-01-01,false
kommune,1119,Nærbø,11,Rogaland,1894-01-01,1964-01-01,false
kommune,1119,Hå,11,Rogaland,1964-01-01,,true
kommune,1120,Klepp,11,Rogaland,1838-01-01,,true
kommune,1121,Time,11,Rogaland,1838-01-01,,true
kommune,1122,Gjesdal,11,Rogaland,1838-01-01,,true
kommune,1123,Høyland,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1124,Håland,11,Rogaland,1838-01-01,1931-01-01,false
kommune,1124,Sola,11,Rogaland,1931-01-01,,true
kommune,1125,Madla,11,Rogaland,1931-01-01,1965-01-01,false
kommune,1126,Hetland,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1127,Randaberg,11,Rogaland,1923-01-01,,true
kommune,1128,Høgsfjord,11,Stavanger amt,1842-01-01,1871-01-01,false
kommune,1128,Høle,11,Rogaland,1871-01-01,1965-01-01,false
kommune,1129,Forsand,11,Rogaland,1871-01-01,2020-01-01,false
kommune,1130,Strand,11,Rogaland,1838-01-01,,true
kommune,1131,Årdal (Rogaland),11,Rogaland,1859-01-01,1965-01-01,false
kommune,1132,Fister,11,Rogaland,1885-01-01,1965-01-01,false
kommune,1133,Hjelmeland og Fister,11,Stavanger amt,1838-01-01,1885-01-01,false
kommune,1133,Hjelmeland,11,Rogaland,1885-01-01,,true
kommune,1134,Suldal,11,Rogaland,1838-01-01,,true
kommune,1135,Sauda,11,Rogaland,1842-01-01,,true
kommune,1136,Sand (Rogaland),11,Rogaland,1859-01-01,1965-01-01,false
kommune,1137,Erfjord,11,Rogaland,1914-01-01,1965-01-01,false
kommune,1138,Jelsa,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1139,Hinderaa,11,Stavanger amt,1838-01-01,1881-01-01,false
kommune,1139,Nedstrand,11,Rogaland,1881-01-01,1965-01-01,false
kommune,1140,Sjernarøy,11,Rogaland,1868-01-01,1965-01-01,false
kommune,1141,Finnøy,11,Rogaland,1838-01-01,2020-01-01,false
kommune,1142,Rennesøy,11,Rogaland,1838-01-01,2020-01-01,false
kommune,1143,Mosterøy,11,Rogaland,1885-01-01,1965-01-01,false
kommune,1144,Kvitsøy,11,Rogaland,1923-01-01,,true
kommune,1145,Bokn,11,Rogaland,1849-01-01,,true
kommune,1146,Tysvær,11,Rogaland,1849-01-01,,true
kommune,1147,Avaldsnes,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1148,Kopervik herred,11,Stavanger amt,1909-01-01,1917-01-01,false
kommune,1148,Stangaland,11,Rogaland,1917-01-01,1965-01-01,false
kommune,1149,Åkra,11,Rogaland,1892-01-01,1965-01-01,false
kommune,1149,Karmøy,11,Rogaland,1965-01-01,,true
kommune,1150,Skudenes,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1151,Utsira,11,Rogaland,1925-01-01,,true
kommune,1152,Torvastad,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1153,Skåre,11,Rogaland,1882-01-01,1958-01-01,false
kommune,1154,Skjold,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1154,Vindafjord,11,Rogaland,1965-01-01,2006-01-01,false
kommune,1155,Vats,11,Rogaland,1891-01-01,1965-01-01,false
kommune,1156,Imsland,11,Rogaland,1923-01-01,1965-01-01,false
kommune,1157,Vikedal,11,Rogaland,1838-01-01,1965-01-01,false
kommune,1158,Sandeid,11,Rogaland,1923-01-01,1965-01-01,false
kommune,1159,Ølen,11,Rogaland,2002-01-01,2006-01-01,false
kommune,1160,Vindafjord,11,Rogaland,2006-01-01,,true
kommune,1201,Bergen,12,Hordaland,1972-01-01,2020-01-01,false
kommune,1211,Etne,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1212,Skånevik,12,Hordaland,1838-01-01,1965-01-01,false
kommune,1213,Fjelberg,12,Hordaland,1838-01-01,1965-01-01,false
kommune,1214,Ølen,12,Hordaland,1917-01-01,2002-01-01,false
kommune,1215,Vikebygd,12,Hordaland,1902-01-01,1964-01-01,false
kommune,1216,Sveen,12,Søndre Bergenhus amt,1862-01-01,1912-01-01,false
kommune,1216,Sveio,12,Hordaland,1912-01-01,2020-01-01,false
kommune,1217,Valestrand,12,Hordaland,1869-01-01,1964-01-01,false
kommune,1218,Finnås,12,Søndre Bergenhus amt,1838-01-01,1917-01-01,false
kommune,1218,Moster,12,Hordaland,1917-01-01,1963-01-01,false
kommune,1219,Bømlo,12,Hordaland,1917-01-01,2020-01-01,false
kommune,1220,Bremnes,12,Hordaland,1917-01-01,1963-01-01,false
kommune,1221,Stord,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1222,Fitjar,12,Hordaland,1863-01-01,2020-01-01,false
kommune,1223,Tysnes,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1224,Kvinnherad,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1225,Varaldsøy,12,Hordaland,1902-01-01,1965-01-01,false
kommune,1226,Strandebarm og Varaldsø,12,Søndre Bergenhus amt,1838-01-01,1902-01-01,false
kommune,1226,Strandebarm,12,Hordaland,1902-01-01,1965-01-01,false
kommune,1227,Jondal,12,Hordaland,1845-01-01,2020-01-01,false
kommune,1228,Odda,12,Hordaland,1914-01-01,2020-01-01,false
kommune,1229,Røldal,12,Hordaland,1838-01-01,1964-01-01,false
kommune,1230,Kinsarvik,12,Søndre Bergenhus amt,1838-01-01,1870-01-01,false
kommune,1230,Ullensvang,12,Hordaland,1870-01-01,1977-01-01,false
kommune,1231,Kinsarvik,12,Hordaland,1914-01-01,1964-01-01,false
kommune,1231,Ullensvang,12,Hordaland,1977-01-01,2020-01-01,false
kommune,1232,Eidfjord,12,Hordaland,1892-01-01,1964-01-01,false
kommune,1232,Eidfjord,12,Hordaland,1977-01-01,2020-01-01,false
kommune,1233,Graven,12,Søndre Bergenhus amt,1838-01-01,1859-01-01,false
kommune,1233,Ulvik,12,Hordaland,1859-01-01,2020-01-01,false
kommune,1234,Granvin,12,Hordaland,1892-01-01,2020-01-01,false
kommune,1235,Voss,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1236,Vossestrand,12,Hordaland,1868-01-01,1964-01-01,false
kommune,1237,Evanger,12,Hordaland,1885-01-01,1964-01-01,false
kommune,1238,Vikør,12,Søndre Bergenhus amt,1838-01-01,1912-01-01,false
kommune,1238,Kvam (Hordaland),12,Hordaland,1912-01-01,1965-01-01,false
kommune,1238,Kvam,12,Hordaland,1965-01-01,2020-01-01,false
kommune,1239,Hålandsdal,12,Hordaland,1903-01-01,1964-01-01,false
kommune,1240,Strandvik,12,Hordaland,1903-01-01,1964-01-01,false
kommune,1241,Fusa,12,Hordaland,1856-01-01,2020-01-01,false
kommune,1242,Samnanger,12,Hordaland,1907-01-01,2020-01-01,false
kommune,1243,Os (Hordaland),12,Hordaland,1838-01-01,2020-01-01,false
kommune,1244,Austevoll,12,Hordaland,1886-01-01,2020-01-01,false
kommune,1245,Sund,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1246,Fjell,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1247,Askøy,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1248,Laksevåg,12,Hordaland,1919-01-01,1972-01-01,false
kommune,1249,Fana,12,Hordaland,1838-01-01,1972-01-01,false
kommune,1250,Haus,12,Hordaland,1838-01-01,1964-01-01,false
kommune,1250,Arna,12,Hordaland,1964-01-01,1972-01-01,false
kommune,1251,Bruvik,12,Hordaland,1870-01-01,1964-01-01,false
kommune,1251,Vaksdal,12,Hordaland,1964-01-01,2020-01-01,false
kommune,1252,Modalen,12,Hordaland,1910-01-01,2020-01-01,false
kommune,1253,Hosanger,12,Hordaland,1838-01-01,1964-01-01,false
kommune,1253,Osterøy,12,Hordaland,1964-01-01,2020-01-01,false
kommune,1254,Hammer,12,Søndre Bergenhus amt,1838-01-01,1915-01-01,false
kommune,1254,Hamre,12,Hordaland,1915-01-01,1964-01-01,false
kommune,1255,Åsane,12,Hordaland,1904-01-01,1972-01-01,false
kommune,1256,Meland,12,Hordaland,1924-01-01,2020-01-01,false
kommune,1257,Alversund,12,Hordaland,1885-01-01,1964-01-01,false
kommune,1258,Herdla,12,Hordaland,1871-01-01,1964-01-01,false
kommune,1259,Hjelme,12,Hordaland,1910-01-01,1964-01-01,false
kommune,1259,Øygarden,12,Hordaland,1964-01-01,2020-01-01,false
kommune,1260,Bø (Hordaland),12,Hordaland,1925-01-01,1926-01-01,false
kommune,1260,Hordabø,12,Hordaland,1926-01-01,1964-01-01,false
kommune,1260,Radøy,12,Hordaland,1964-01-01,2020-01-01,false
kommune,1261,Manger,12,Hordaland,1838-01-01,1964-01-01,false
kommune,1262,Sæbø,12,Hordaland,1925-01-01,1964-01-01,false
kommune,1263,Lindås,12,Hordaland,1838-01-01,2020-01-01,false
kommune,1264,Austrheim,12,Hordaland,1910-01-01,2020-01-01,false
kommune,1265,Masfjorden,12,Hordaland,1879-01-01,1948-01-01,false
kommune,1265,Fedje,12,Hordaland,1948-01-01,2020-01-01,false
kommune,1266,Masfjorden,12,Hordaland,1948-01-01,2020-01-01,false
kommune,1280,Årstad,12,Søndre Bergenhus amt,1838-01-01,1916-01-01,false
kommune,1281,Bergen landdistrikt,12,Søndre Bergenhus amt,1838-01-01,1877-01-01,false
kommune,1282,Eid (Hordaland),12,Søndre Bergenhus amt,1838-01-01,1860-01-01,false
kommune,1301,Bergen,13,Bergen,1838-01-01,1972-01-01,false
kommune,1401,Florø,14,Nordre Bergenhus amt,1862-01-01,1964-01-01,false
kommune,1401,Flora,14,Sogn og Fjordane,1964-01-01,2020-01-01,false
kommune,1411,Evenvik,14,Nordre Bergenhus amt,1838-01-01,1891-01-01,false
kommune,1411,Gulen,14,Nordre Bergenhus amt,1891-01-01,2020-01-01,false
kommune,1412,Utvær,14,Nordre Bergenhus amt,1858-01-01,1891-01-01,false
kommune,1412,Sulen,14,Nordre Bergenhus amt,1891-01-01,1924-01-01,false
kommune,1412,Solund,14,Sogn og Fjordane,1924-01-01,2020-01-01,false
kommune,1413,Hyllestad,14,Nordre Bergenhus amt,1862-01-01,2020-01-01,false
kommune,1414,Brekke,14,Nordre Bergenhus amt,1850-01-01,1861-01-01,false
kommune,1414,Brekke,14,Nordre Bergenhus amt,1905-01-01,1964-01-01,false
kommune,1415,Lavik,14,Nordre Bergenhus amt,1838-01-01,1861-01-01,false
kommune,1415,Lavik og Brekke,14,Nordre Bergenhus amt,1861-01-01,1905-01-01,false
kommune,1415,Lavik,14,Nordre Bergenhus amt,1905-01-01,1964-01-01,false
kommune,1416,Klævold,14,Nordre Bergenhus amt,1858-01-01,1891-01-01,false
kommune,1416,Kyrkjebø,14,Nordre Bergenhus amt,1891-01-01,1964-01-01,false
kommune,1416,Høyanger,14,Sogn og Fjordane,1964-01-01,2020-01-01,false
kommune,1417,Vik,14,Nordre Bergenhus amt,1838-01-01,1839-01-01,false
kommune,1417,Vik (Sogn og Fjordane),14,Nordre Bergenhus amt,1839-01-01,1840-01-01,false
kommune,1417,Vik,14,Nordre Bergenhus amt,1840-01-01,1930-01-01,false
kommune,1417,Vik (Sogn og Fjordane),14,Sogn og Fjordane,1930-01-01,1935-01-01,false
kommune,1417,Vik,14,Sogn og Fjordane,1935-01-01,1937-01-01,false
kommune,1417,Vik (Sogn og Fjordane),14,Sogn og Fjordane,1937-01-01,1964-01-01,false
kommune,1417,Vik,14,Sogn og Fjordane,1964-01-01,2020-01-01,false
kommune,1418,Balestrand,14,Nordre Bergenhus amt,1850-01-01,2020-01-01,false
kommune,1419,Leikanger,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1420,Sogndal (Sogn og Fjordane),14,Nordre Bergenhus amt,1838-01-01,2002-01-01,false
kommune,1420,Sogndal,14,Sogn og Fjordane,2002-01-01,2003-01-01,false
kommune,1420,Sogndal (Sogn og Fjordane),14,Sogn og Fjordane,2003-01-01,2005-01-01,false
kommune,1420,Sogndal,14,Sogn og Fjordane,2005-01-01,2011-01-01,false
kommune,1420,Sogndal (Sogn og Fjordane),14,Sogn og Fjordane,2011-01-01,2012-01-01,false
kommune,1420,Sogndal,14,Sogn og Fjordane,2012-01-01,2015-01-01,false
kommune,1420,Sogndal (Sogn og Fjordane),14,Sogn og Fjordane,2015-01-01,2017-01-01,false
kommune,1420,Sogndal,14,Sogn og Fjordane,2017-01-01,2020-01-01,false
kommune,1421,Aurland,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1422,Lærdal,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1423,Borgund (Sogn og Fjordane),14,Nordre Bergenhus amt,1864-01-01,1964-01-01,false
kommune,1424,Årdal (Sogn og Fjordane),14,Nordre Bergenhus amt,1863-01-01,2002-01-01,false
kommune,1424,Årdal,14,Sogn og Fjordane,2002-01-01,2003-01-01,false
kommune,1424,Årdal (Sogn og Fjordane),14,Sogn og Fjordane,2003-01-01,2005-01-01,false
kommune,1424,Årdal,14,Sogn og Fjordane,2005-01-01,2011-01-01,false
kommune,1424,Årdal (Sogn og Fjordane),14,Sogn og Fjordane,2011-01-01,2012-01-01,false
kommune,1424,Årdal,14,Sogn og Fjordane,2012-01-01,2015-01-01,false
kommune,1424,Årdal (Sogn og Fjordane),14,Sogn og Fjordane,2015-01-01,2017-01-01,false
kommune,1424,Årdal,14,Sogn og Fjordane,2017-01-01,2020-01-01,false
kommune,1425,Hafslo,14,Nordre Bergenhus amt,1838-01-01,1963-01-01,false
kommune,1426,Luster,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1427,Jostedal,14,Nordre Bergenhus amt,1838-01-01,1963-01-01,false
kommune,1428,Askvoll,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1429,Ytre Holmedal,14,Nordre Bergenhus amt,1838-01-01,1913-01-01,false
kommune,1429,Fjaler,14,Nordre Bergenhus amt,1913-01-01,2020-01-01,false
kommune,1430,Indre Holmedal,14,Nordre Bergenhus amt,1838-01-01,1912-01-01,false
kommune,1430,Gaular,14,Nordre Bergenhus amt,1912-01-01,2020-01-01,false
kommune,1431,Jølster,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1432,Førde,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1433,Naustdal,14,Nordre Bergenhus amt,1896-01-01,2020-01-01,false
kommune,1434,Vevring,14,Nordre Bergenhus amt,1838-01-01,1964-01-01,false
kommune,1435,Eikefjord,14,Sogn og Fjordane,1923-01-01,1964-01-01,false
kommune,1436,Bru,14,Sogn og Fjordane,1923-01-01,1964-01-01,false
kommune,1437,Kinn,14,Nordre Bergenhus amt,1838-01-01,1964-01-01,false
kommune,1438,Bremanger,14,Nordre Bergenhus amt,1866-01-01,2020-01-01,false
kommune,1439,Sør-Vågsøy,14,Nordre Bergenhus amt,1910-01-01,1964-01-01,false
kommune,1439,Vågsøy,14,Sogn og Fjordane,1964-01-01,2020-01-01,false
kommune,1440,Nord-Vågsøy,14,Nordre Bergenhus amt,1910-01-01,1964-01-01,false
kommune,1441,Selje,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1442,Davik,14,Nordre Bergenhus amt,1838-01-01,1965-01-01,false
kommune,1443,Eid (Sogn og Fjordane),14,Nordre Bergenhus amt,1838-01-01,2002-01-01,false
kommune,1443,Eid,14,Sogn og Fjordane,2002-01-01,2003-01-01,false
kommune,1443,Eid (Sogn og Fjordane),14,Sogn og Fjordane,2003-01-01,2005-01-01,false
kommune,1443,Eid,14,Sogn og Fjordane,2005-01-01,2011-01-01,false
kommune,1443,Eid (Sogn og Fjordane),14,Sogn og Fjordane,2011-01-01,2012-01-01,false
kommune,1443,Eid,14,Sogn og Fjordane,2012-01-01,2015-01-01,false
kommune,1443,Eid (Sogn og Fjordane),14,Sogn og Fjordane,2015-01-01,2017-01-01,false
kommune,1443,Eid,14,Sogn og Fjordane,2017-01-01,2020-01-01,false
kommune,1444,Hornindal,14,Nordre Bergenhus amt,1867-01-01,1965-01-01,false
kommune,1444,Hornindal,14,Sogn og Fjordane,1977-01-01,2020-01-01,false
kommune,1445,Gloppen,14,Nordre Bergenhus amt,1838-01-01,2020-01-01,false
kommune,1446,Breim,14,Nordre Bergenhus amt,1886-01-01,1964-01-01,false
kommune,1447,Innvik,14,Nordre Bergenhus amt,1838-01-01,1965-01-01,false
kommune,1448,Stryn,14,Nordre Bergenhus amt,1843-01-01,1977-01-01,false
kommune,1449,Stryn,14,Sogn og Fjordane,1977-01-01,2020-01-01,false
kommune,1501,Ålesund,15,Romsdals amt,1838-01-01,1977-01-01,false
kommune,1502,Molde,15,Romsdals amt,1838-01-01,2020-01-01,false
kommune,1503,Kristiansund,15,Romsdals amt,1838-01-01,2008-01-01,false
kommune,1504,Ålesund,15,Møre og Romsdal,1977-01-01,2020-01-01,false
kommune,1505,Kristiansund,15,Møre og Romsdal,2008-01-01,,true
kommune,1506,Molde,15,Møre og Romsdal,2020-01-01,,true
kommune,1507,Ålesund,15,Møre og Romsdal,2020-01-01,2024-01-01,false
kommune,1508,Ålesund,15,Møre og Romsdal,2024-01-01,,true
kommune,1511,Vanylven,15,Romsdals amt,1838-01-01,,true
kommune,1512,Syvde,15,Møre og Romsdal,1919-01-01,1964-01-01,false
kommune,1513,Rovde,15,Romsdals amt,1905-01-01,1964-01-01,false
