region_id,region,ssb_id,ssb,district_id,district,municipality_id,municipality,county_id,county,year,population
030100,Oslo i alt,030100aa,Oslo i alt,030100,Oslo i alt,0301,Oslo,03,Oslo,2022,699827
030101,Gamle Oslo,030101a,Gamle Oslo,030101,Gamle Oslo,0301,Oslo,03,Oslo,2022,60209
030102,Grünerløkka,030102a,Grünerløkka,030102,Grünerløkka,0301,Oslo,03,Oslo,2022,63891
030103,Sagene,030103a,Sagene,030103,Sagene,0301,Oslo,03,Oslo,2022,46424
030104,St. Hanshaugen,030104a,St. Hanshaugen,030104,St. Hanshaugen,0301,Oslo,03,Oslo,2022,39066
030105,Frogner,030105a,Frogner,030105,Frogner,0301,Oslo,03,Oslo,2022,59026
030106,Ullern,030106a,Ullern,030106,Ullern,0301,Oslo,03,Oslo,2022,34896
030107,Vestre Aker,030107a,Vestre Aker,030107,Vestre Aker,0301,Oslo,03,Oslo,2022,50784
030108,Nordre Aker,030108a,Nordre Aker,030108,Nordre Aker,0301,Oslo,03,Oslo,2022,53109
030109,Bjerke,030109a,Bjerke,030109,Bjerke,0301,Oslo,03,Oslo,2022,35117
030110,Grorud,030110a,Grorud,030110,Grorud,0301,Oslo,03,Oslo,2022,27457
030111,Stovner,030111a,Stovner,030111,Stovner,0301,Oslo,03,Oslo,2022,33259
030112,Alna,030112a,Alna,030112,Alna,0301,Oslo,03,Oslo,2022,49373
030113,Østensjø,030113a,Østensjø,030113,Østensjø,0301,Oslo,03,Oslo,2022,50837
030114,Nordstrand,030114a,Nordstrand,030114,Nordstrand,0301,Oslo,03,Oslo,2022,52595
030115,Søndre Nordstrand,030115a,Søndre Nordstrand,030115,Søndre Nordstrand,0301,Oslo,03,Oslo,2022,39037
030116,Sentrum,030116a,Sentrum,030116,Sentrum,0301,Oslo,03,Oslo,2022,1589
030117,Marka,030117a,Marka,030117,Marka,0301,Oslo,03,Oslo,2022,1636
030199,Uoppgitt bydel Oslo,030199a,Uoppgitt bydel Oslo,030199,Uoppgitt bydel Oslo,0301,Oslo,03,Oslo,2022,1522
110300,Stavanger i alt,110300a,Stavanger i alt,110300,Stavanger i alt,1103,Stavanger,11,Rogaland,2022,144699
110301,Hundvåg,110301,Hundvåg,110301,Hundvåg,1103,Stavanger,11,Rogaland,2022,13197
110302,Tasta,110302,Tasta,110302,Tasta,1103,Stavanger,11,Rogaland,2022,15571
110303,Eiganes/Våland,110303,Eiganes/Våland,110303,Eiganes/Våland,1103,Stavanger,11,Rogaland,2022,24683
110304,Madla,110304,Madla,110304,Madla,1103,Stavanger,11,Rogaland,2022,21817
110305,Storhaug,110305,Storhaug,110305,Storhaug,1103,Stavanger,11,Rogaland,2022,17767
110306,Hillevåg,110306,Hillevåg,110306,Hillevåg,1103,Stavanger,11,Rogaland,2022,19945
110307,Hinna,110307,Hinna,110307,Hinna,1103,Stavanger,11,Rogaland,2022,23082
110308,Finnøy,110308,Finnøy,110308,Finnøy,1103,Stavanger,11,Rogaland,2022,3235
110309,Rennesøy,110309,Rennesøy,110309,Rennesøy,1103,Stavanger,11,Rogaland,2022,5221
110399,Uoppgitt bydel Stavanger,110399,Uoppgitt bydel Stavanger,110399,Uoppgitt bydel Stavanger,1103,Stavanger,11,Rogaland,2022,181
460100,Bergen i alt,460100,Bergen i alt,460100,Bergen i alt,4601,Bergen,46,Vestland,2022,286930
460101,Arna,460101,Arna,460101,Arna,4601,Bergen,46,Vestland,2022,13802
460102,Bergenhus,460102,Bergenhus,460102,Bergenhus,4601,Bergen,46,Vestland,2022,42505
460103,Fana,460103,Fana,460103,Fana,4601,Bergen,46,Vestland,2022,44148
460104,Fyllingsdalen,460104,Fyllingsdalen,460104,Fyllingsdalen,4601,Bergen,46,Vestland,2022,30479
460105,Laksevåg,460105,Laksevåg,460105,Laksevåg,4601,Bergen,46,Vestland,2022,40272
460106,Ytrebygda,460106,Ytrebygda,460106,Ytrebygda,4601,Bergen,46,Vestland,2022,30484
460107,Årstad,460107,Årstad,460107,Årstad,4601,Bergen,46,Vestland,2022,42950
460108,Åsane,460108,Åsane,460108,Åsane,4601,Bergen,46,Vestland,2022,41953
460199,Uoppgitt bydel Bergen,460199,Uoppgitt bydel Bergen,460199,Uoppgitt bydel Bergen,4601,Bergen,46,Vestland,2022,337
500100,Trondheim i alt,500100,Trondheim i alt,500100,Trondheim i alt,5001,Trondheim,50,Trøndelag,2022,210496
500101,Midtbyen,500101,Midtbyen,500101,Midtbyen,5001,Trondheim,50,Trøndelag,2022,52298
500102,Østbyen,500102,Østbyen,500102,Østbyen,5001,Trondheim,50,Trøndelag,2022,59073
500103,Lerkendal,500103,Lerkendal,500103,Lerkendal,5001,Trondheim,50,Trøndelag,2022,55418
500104,Heimdal,500104,Heimdal,500104,Heimdal,5001,Trondheim,50,Trøndelag,2022,43420
